,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
6,3408,USDC,USDC,usd-coin,15251,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24509870702.469257,24509870702.469257,False,,7,,,,2023-12-04T04:49:00.000Z,0.9998052722341298,4029193877.391513,7.347,-0.01771473,0.00160635,-0.00227228,-0.05701141,-0.02292144,-0.02455273,24505097950.1056,1.6058,24505097950.11,,2023-12-04T04:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-12-03 23:51:27.800259
7,2010,Cardano,ADA,cardano,989,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35308839254.778,36410042820.425,False,,8,,,,2023-12-04T04:50:00.000Z,0.40726107583926713,339164482.2366937,15.9448,0.91372016,2.56206019,5.66117873,25.02721628,57.72063469,58.56639997,14379915861.536634,0.9422,18326748412.77,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:51:27.800259
8,74,Dogecoin,DOGE,dogecoin,836,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142090746383.70526,142090746383.70526,True,,9,,,,2023-12-04T04:51:00.000Z,0.08788053383373835,612914540.7978103,19.68,1.70392733,2.50799588,11.73649003,28.22141937,43.68757999,38.65217657,12487010645.034346,0.818,12487010645.03,,2023-12-04T04:51:00.000Z,,,,,,2023-12-03 23:51:27.800259
9,1958,TRON,TRX,tron,882,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88518370039.52167,88518383403.19551,True,,10,71659659264.0,7430905758.171138,,2023-12-04T04:50:00.000Z,0.10369719636532289,214299796.6819048,12.9296,0.11646816,0.23723068,-2.85198442,6.46882496,15.98268793,34.20407392,9179106799.926592,0.6015,9179108185.7,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:51:27.800259
10,1975,Chainlink,LINK,chainlink,1479,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,11,,,,2023-12-04T04:50:00.000Z,16.092054953161604,614795324.5504916,-7.6687,1.31188253,0.8097947,9.16836449,42.47805426,110.86111896,169.44947415,8960860325.19266,0.5871,16092054953.16,,2023-12-04T04:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-12-03 23:51:27.800259
11,11419,Toncoin,TON,toncoin,175,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,12,3414166606.0,8317879926.6552105,,2023-12-04T04:50:00.000Z,2.436284132132716,35359271.3833496,4.8575,0.96189485,-0.38836887,3.10000848,7.90444857,23.60244238,34.6077332,8361064236.2604265,0.5478,12297286747.78,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:51:27.800259
12,5805,Avalanche,AVAX,avalanche,574,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,365201199.51119775,433234109.51119775,False,,13,,,,2023-12-04T04:49:00.000Z,22.44844285606595,368562045.13749427,3.082,1.18468856,0.6876914,8.50265622,85.79757142,124.50524081,130.35862357,8198198258.193862,0.5373,16162878856.37,,2023-12-04T04:49:00.000Z,,,,,,2023-12-03 23:51:27.800259
13,3890,Polygon,MATIC,polygon,1120,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9275188969.960863,10000000000.0,False,,14,,,,2023-12-04T04:50:00.000Z,0.8246287470535528,489669774.34204346,7.8983,0.5104648,1.56202993,8.7846766,23.77163511,47.00926806,48.97909102,7648587458.98376,0.5012,8246287470.54,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:51:27.800259
14,6636,Polkadot,DOT,polkadot-new,630,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1252131961.7277622,1384392463.4361138,True,,15,,,,2023-12-04T04:50:00.000Z,5.636913809397951,161281153.2153698,19.7157,0.49688296,1.83613424,6.01757959,21.77979839,39.40076667,33.00183123,7058159946.25177,0.4625,7803700994.77,,2023-12-04T04:50:00.000Z,,,,,,2023-12-03 23:51:27.800259
0,1,Bitcoin,BTC,bitcoin,10599,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19562031.0,19562031.0,False,,1,,,,2023-12-05T21:05:00.000Z,43770.179338305104,34767809551.87821,-12.4103,0.08187651,4.76779466,14.61840701,24.9533245,56.39817099,70.48351594,856233605091.4839,53.8756,919173766104.41,,2023-12-05T21:05:00.000Z,,,,,,2023-12-05 16:06:53.750118
1,1027,Ethereum,ETH,ethereum,7963,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120230295.78434539,120230295.78434539,True,,2,,,,2023-12-05T21:05:00.000Z,2264.610163600173,14742262096.229675,-11.9855,-0.44163052,1.62665644,9.72315549,20.03549293,37.48628222,38.97848692,272274749805.8836,17.1406,272274749805.88,,2023-12-05T21:05:00.000Z,,,,,,2023-12-05 16:06:53.750118
2,825,Tether USDt,USDT,tether,67360,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,89814116890.37746,92609951831.97562,True,,3,,,,2023-12-05T21:04:00.000Z,1.0001308411972027,58426587906.07469,-21.219,0.01312832,0.03044486,-0.02438614,-0.05400548,-0.03217639,0.08031778,89825868276.9571,5.6494,92622069028.95,,2023-12-05T21:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-12-05 16:06:53.750118
3,1839,BNB,BNB,bnb,1813,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151697927.87258565,151697927.87258565,False,,4,,,,2023-12-05T21:04:00.000Z,230.4897409730868,845922668.688396,-60.5371,-0.30108847,-0.44312065,-0.20223987,-5.51029148,7.94986697,7.43978464,34964816101.50627,2.199,34964816101.51,,2023-12-05T21:04:00.000Z,,,,,,2023-12-05 16:06:53.750118
